"","X1","X2"
"3095","learned","lot"
"3098","hate","people"
"3115","increased","percent"
"3128","books","read"
"3134","campaign","finance"
"3135","foot","pound"
"3137","works","well"
"3142","democratic","party"
"3150","mobile","phone"
"3153","brothers","sisters"
"3157","dark","chocolate"
"3158","fat","g"
"3162","woo","hoo"
"3166","entire","life"
"3173","housing","market"
"3175","piece","paper"
"3177","ex","wife"
"3183","price","tag"
"3185","card","stock"
"3194","baptist","church"
"3198","estimated","million"
"3199","master's","degree"
"3200","la","la"
"3205","reduce","heat"
"3217","women","children"
"3219","places","like"
"3223","difficult","time"
"3224","d","d"
"3230","kelly","said"
"3242","mashed","potatoes"
"3246","coach","mike"
"3248","plenty","time"
"3250","meet","new"
"3251","die","cut"
"3252","likely","get"
"3255","announced","today"
"3259","plastic","bags"
"3260","taste","like"
"3261","wants","go"
"3263","romney","said"
"3264","humane","society"
"3271","overall","pick"
"3274","remove","heat"
"3277","soon","enough"
"3279","male","female"
"3284","serving","calories"
"3286","returned","home"
"3297","reality","show"
"3301","toward","end"
"3304","roller","coaster"
"3305","defense","attorney"
"3307","contemporary","art"
"3313","photo","shoot"
"3320","gets","better"
"3334","johns","hopkins"
"3339","actually","get"
"3347","brings","us"
"3351","committee","said"
"3352","place","start"
"3362","father","son"
"3365","sexual","abuse"
"3367","bases","loaded"
"3368","called","police"
"3371","shook","head"
"3372","blu","ray"
"3373","fisher","said"
"3374","without","much"
"3376","percentage","points"
"3379","offensive","line"
"3380","though","one"
"3389","hopefully","can"
"3390","older","brother"
"3400","clean","water"
"3402","pga","tour"
"3409","list","things"
"3413","done","much"
"3416","simply","put"
"3418","tastes","like"
"3421","growing","number"
"3423","joining","us"
"3426","miss","u"
"3429","means","can"
"3436","fashion","show"
"3438","payroll","tax"
"3444","feet","inches"
"3449","rainy","day"
"3450","dance","floor"
"3458","team","won"
"3459","lawsuit","filed"
"3462","havent","seen"
"3492","jones","said"
"3493","mark","twain"
"3495","john","f"
"3509","allow","us"
"3510","baked","goods"
"3512","close","friends"
"3528","glass","wine"
"3542","car","accident"
"3550","soviet","union"
"3552","ago","now"
"3555","government","officials"
"3560","f","kennedy"
"3567","book","club"
"3572","games","season"
"3586","scott","said"
"3601","losing","streak"
"3607","parent","company"
"3610","tomato","sauce"
"3620","political","parties"
"3624","funny","thing"
"3630","freddie","mac"
"3633","pinot","noir"
"3635","mexico","city"
"3652","jumped","percent"
"3660","california","state"
"3678","driver's","license"
"3685","previous","post"
"3686","webster","groves"
"3689","sooner","later"
"3693","baseball","team"
"3695","disease","control"
"3697","perfect","time"
"3706","angeles","times"
"3709","operating","officer"
"3711","el","paso"
"3713","needed","get"
"3718","fact","one"
"3729","opened","door"
"3731","safety","net"
"3736","write","book"
"3747","dry","ingredients"
"3748","area","residents"
"3756","majority","leader"
"3763","class","action"
"3766","arizona","state"
"3767","allows","us"
"3770","junior","high"
"3774","however","one"
"3777","noon","p.m"
"3781","c","pp"
"3784","talk","show"
"3789","twice","week"
"3791","iowa","state"
"3792","inside","outside"
"3812","care","much"
"3815","definitely","going"
"3818","moved","back"
"3828","yr","old"
"3835","agency","said"
"3840","center","fielder"
"3842","seen","many"
"3844","throw","away"
"3846","beastie","boys"
"3850","guy","like"
"3851","sorry","hear"
"3852","test","scores"
"3860","perhaps","even"
"3862","carbohydrate","g"
"3864","stick","around"
"3890","answering","questions"
"3891","younger","brother"
"3894","degree","murder"
"3903","available","online"
"3911","watch","tv"
"3913","hold","back"
"3917","somerset","county"
"3933","morning","everyone"
"3941","consulting","firm"
"3954","patterned","paper"
"3958","charles","county"
"3962","ann","arbor"
"3963","education","system"
"3967","goods","services"
"3971","sitting","next"
"3979","sf","br"
"3980","says","can"
"3987","waiting","see"
"3999","bowl","combine"
"4011","marriage","equality"
"4017","double","digit"
"4029","hundred","years"
"4041","recently","released"
"4043","congressional","district"
"4055","mixing","bowl"
"4059","goldman","sachs"
"4069","contact","us"
"4073","morris","county"
"4091","pick","one"
"4094","stanley","cup"
"4095","extra","time"
"4096","beer","wine"
"4107","click","link"
"4108","bachelor's","degree"
"4111","couldnt","get"
"4116","historical","society"
"4121","winning","streak"
"4123","dropped","percent"
"4131","breaking","news"
"4134","smell","like"
"4144","salary","cap"
"4150","singer","songwriter"
"4151","quick","easy"
"4158","wrong","way"
"4165","shot","put"
"4183","maricopa","county"
"4187","fun","watch"
"4188","wine","list"
"4189","others","can"
"4207","lime","juice"
"4208","jackson","said"
"4209","teachers","union"
"4218","occupy","wall"
"4220","scoring","points"
"4239","fresh","air"
"4242","centers","disease"
"4253","artistic","director"
"4261","protection","agency"
"4266","king","jr"
"4277","dinner","party"
"4285","asking","questions"
"4290","coca","cola"
"4294","outside","home"
"4302","continue","work"
"4304","averaged","points"
"4313","everyday","life"
"4318","middlesex","county"
"4322","caught","eye"
"4326","euro","zone"
"4330","staten","island"
"4335","apartment","building"
"4338","expect","see"
"4353","unrestricted","free"
"4357","parks","recreation"
"4358","based","company"
"4359","sewing","machine"
"4366","baltimore","city"
"4378","grad","school"
"4382","staples","center"
"4383","mcmillan","said"
"4385","passes","yards"
"4391","greater","cleveland"
"4392","visit","us"
"4394","disney","world"
"4409","illinois","state"
"4413","des","moines"
"4415","hit","two"
"4420","drive","home"
"4424","clackamas","county"
"4432","fan","base"
"4440","minimum","wage"
"4441","release","date"
"4470","christ","jesus"
"4475","sea","salt"
"4479","born","raised"
"4483","minor","league"
"4492","wayne","county"
"4495","statement","said"
"4504","certain","things"
"4511","tie","game"
"4514","sunny","day"
"4528","building","new"
"4534","highest","level"
"4550","ups","downs"
"4551","decisions","made"
"4552","albert","pujols"
"4554","bus","driver"
"4556","ronald","reagan"
"4560","doors","open"
