"","1","2"
"1259","people","really"
"1260","makes","us"
"1261","interest","rates"
"1262","right","side"
"1263","said","interview"
"1264","find","new"
"1265","moving","forward"
"1266","records","show"
"1267","make","way"
"1268","video","games"
"1269","cents","per"
"1270","one","reason"
"1271","stuff","like"
"1272","like","people"
"1273","time","take"
"1274","feel","way"
"1275","news","release"
"1276","now","go"
"1277","im","gonna"
"1278","box","office"
"1279","great","idea"
"1280","cinco","de"
"1281","get","used"
"1282","nearly","two"
"1283","said","adding"
"1284","get","enough"
"1285","senate","bill"
"1286","defensive","end"
"1287","convention","center"
"1288","federal","law"
"1289","county","jail"
"1290","just","take"
"1291","people","work"
"1292","can","eat"
"1293","according","report"
"1294","u","r"
"1295","cell","phones"
"1296","chamber","commerce"
"1297","just","way"
"1298","us","get"
"1299","tell","story"
"1300","just","saying"
"1301","know","get"
"1302","something","wrong"
"1303","thought","might"
"1304","wal","mart"
"1305","friday","saturday"
"1306","never","mind"
"1307","really","cool"
"1308","american","idol"
"1309","awkward","moment"
"1310","science","fiction"
"1311","also","got"
"1312","life","just"
"1313","hong","kong"
"1314","think","im"
"1315","may","even"
"1316","well","enough"
"1317","time","money"
"1318","gift","card"
"1319","u.s","attorney"
"1320","public","library"
"1321","sex","marriage"
"1322","people","feel"
"1323","get","things"
"1324","one","direction"
"1325","five","days"
"1326","can","afford"
"1327","something","really"
"1328","sounds","good"
"1329","good","work"
"1330","four","games"
"1331","want","give"
"1332","high","schools"
"1333","general","election"
"1334","every","morning"
"1335","birthday","party"
"1336","small","businesses"
"1337","medical","marijuana"
"1338","just","plain"
"1339","nearly","million"
"1340","street","journal"
"1341","completely","different"
"1342","percent","increase"
"1343","never","ever"
"1344","well","see"
"1345","rt","just"
"1346","west","virginia"
"1347","21st","century"
"1348","co","workers"
"1349","feel","comfortable"
"1350","late","last"
"1351","like","make"
"1352","well","worth"
"1353","want","hear"
"1354","south","african"
"1355","short","story"
"1356","third","party"
"1357","can","happen"
"1358","highly","recommend"
"1359","much","just"
"1360","every","month"
"1361","fox","news"
"1362","next","days"
"1363","even","one"
"1364","least","three"
"1365","state","sen"
"1366","go","work"
"1367","us","just"
"1368","say","yes"
"1369","conference","call"
"1370","cream","cheese"
"1371","cross","country"
"1372","know","good"
"1373","taking","time"
"1374","make","decision"
"1375","great","things"
"1376","day","get"
"1377","got","little"
"1378","n","roll"
"1379","college","football"
"1380","didnt","even"
"1381","day","work"
"1382","people","still"
"1383","per","day"
"1384","nice","see"
"1385","modern","day"
"1386","us","can"
"1387","hope","enjoy"
"1388","made","sure"
"1389","western","conference"
"1390","paying","attention"
"1391","last","months"
"1392","federal","reserve"
"1393","thank","everyone"
"1394","p.m","april"
"1395","granite","city"
"1396","see","people"
"1397","said","rt"
"1398","yes","know"
"1399","love","one"
"1400","now","back"
"1401","happy","easter"
"1402","raise","money"
"1403","fall","asleep"
"1404","spend","money"
"1405","can","turn"
"1406","e","mails"
"1407","can","expect"
"1408","everyone","knows"
"1409","cant","get"
"1410","two","time"
"1411","said","something"
"1412","first","ever"
"1413","people","go"
"1414","see","new"
"1415","thanks","sharing"
"1416","know","really"
"1417","way","much"
"1418","christie","said"
"1419","good","reason"
"1420","keep","eye"
"1421","circuit","court"
"1422","lot","work"
"1423","new","friends"
"1424","two","run"
"1425","red","carpet"
"1426","like","way"
"1427","wanted","get"
"1428","may","need"
"1429","wait","till"
"1430","get","job"
"1431","past","three"
"1432","like","im"
"1433","daily","basis"
"1434","month","old"
"1435","facebook","twitter"
"1436","first","class"
"1437","like","lot"
"1438","group","people"
"1439","read","books"
"1440","free","throws"
"1441","fingers","crossed"
"1442","yet","still"
"1443","start","new"
"1444","w","bush"
"1445","nfl","draft"
"1446","face","face"
"1447","osama","bin"
"1448","way","life"
"1449","ive","always"
"1450","behind","scenes"
"1451","five","six"
"1452","look","around"
"1453","international","airport"
"1454","must","say"
"1455","also","one"
"1456","financial","crisis"
"1457","last","thing"
"1458","music","video"
"1459","gonna","get"
"1460","sci","fi"
"1461","may","just"
"1462","one","place"
"1463","life","can"
"1464","see","next"
"1465","s","p"
"1466","im","pretty"
"1467","world","cup"
"1468","everything","can"
"1469","even","think"
"1470","home","work"
"1471","great","place"
"1472","can","learn"
"1473","gotta","love"
"1474","hudson","county"
"1475","got","good"
"1476","three","games"
"1477","local","governments"
"1478","let","tell"
"1479","new","things"
"1480","u.s","department"
"1481","saturday","afternoon"
"1482","wanted","know"
"1483","take","home"
"1484","homeland","security"
"1485","state","federal"
"1486","whats","going"
"1487","people","live"
"1488","really","excited"
"1489","determine","whether"
"1490","things","go"
"1491","chief","financial"
"1492","united","nations"
"1493","friday","afternoon"
"1494","need","take"
"1495","never","met"
"1496","still","trying"
"1497","said","go"
"1498","year","round"
"1499","even","just"
"1500","peyton","manning"
"1501","weve","got"
"1502","cup","coffee"
"1503","like","crazy"
"1504","despite","fact"
"1505","financial","officer"
"1506","fire","department"
"1507","per","hour"
"1508","go","wrong"
"1509","years","come"
"1510","somewhere","else"
"1511","brown","sugar"
"1512","going","come"
"1513","less","likely"
"1514","ive","ever"
"1515","just","minutes"
"1516","make","look"
"1517","dont","see"
"1518","really","liked"
"1519","another","great"
"1520","district","attorney"
"1521","north","dakota"
"1522","prosecutors","said"
"1523","time","start"
"1524","just","three"
"1525","today","just"
"1526","looking","good"
"1527","whole","life"
"1528","well","can"
"1529","second","year"
"1530","mom","dad"
